序号,股票代码,股票简称,,上市日期,上市首日换手率(%),发行价(元),上市日期,CPI,PPI,板块涨幅,第一日涨幅,第二日涨幅,第三日涨幅,Max_Close_7,Max_Date_7,天数_7,收益率_7,Max_Close_30,Max_Date_30,天数_30,收益率_30,Max_Close_90,Max_Date_90,天数_90,收益率_90
43,688050,爱博医疗,2020/7/31,20200729,78.23,33.55,2020/7/29,2.7,-2.4,16.19%,616.84,0.00,0.03,292.41,2020/8/3,5,7.72,292.41,2020/8/3,5,7.72,292.4091187,2020/8/3,5,7.715622016
44,688051,佳华科技,2020/3/31,20200320,66.56,50.81,2020/3/20,4.3,-1.5,-12.05%,130.29,-0.08,0.03,115.49,2020/3/20,0,1.27,115.49,2020/3/20,0,1.27,115.5707474,2020/6/16,88,1.274566963
45,688052,纳芯微,2022/4/30,20220422,58.37,230,2022/4/22,2.1,8,-17.40%,12.86,-0.09,-0.01,263.39,2022/4/27,5,0.15,318.34,2022/5/17,25,0.38,451.8999939,2022/7/19,88,0.964782582
46,688053,思科瑞,2022/7/31,20220708,55.88,55.53,2022/7/8,2.7,4.2,4.56%,-3.12,-0.07,0.09,57.92,2022/7/14,6,0.04,72.40,2022/8/5,28,0.30,75.02999878,2022/8/11,34,0.351161512
47,688055,龙腾光电,2020/8/31,20200817,80.03,1.22,2020/8/17,2.4,-2,4.24%,707.38,0.35,0.02,13.44,2020/8/19,2,10.02,13.44,2020/8/19,2,10.02,13.4408741,2020/8/19,2,10.01710992
48,688056,莱伯泰科,2020/9/30,20200902,73.79,24.8,2020/9/2,1.7,-2.1,-9.75%,91.13,-0.06,-0.05,46.71,2020/9/2,0,0.88,46.71,2020/9/2,0,0.88,46.71141815,2020/9/2,0,0.883524925
49,688057,金达莱,2020/11/30,20201111,64.93,25.84,2020/11/11,-0.5,-1.5,-0.46%,70.12,-0.12,0.07,40.07,2020/11/11,0,0.55,40.07,2020/11/11,0,0.55,40.06671524,2020/11/11,0,0.550569475
50,688058,宝兰德,2019/11/30,20191101,74.69,79.3,2019/11/1,4.5,-1.4,-3.40%,26.36,-0.06,-0.04,69.37,2019/11/1,0,-0.13,69.37,2019/11/1,0,-0.13,95.53526306,2020/1/22,82,0.204732195
51,688059,华锐精密,2021/2/28,20210208,86.59,37.09,2021/2/8,-0.2,1.7,2.68%,132.41,-0.05,-0.22,84.66,2021/2/8,0,1.28,121.67,2021/3/8,28,2.28,139.1901703,2021/5/6,87,2.752768139
52,688060,云涌科技,2020/7/31,20200710,74.76,44.47,2020/7/10,2.7,-2.4,10.34%,468.05,-0.09,0.06,249.62,2020/7/10,0,4.61,249.62,2020/7/10,0,4.61,249.6205139,2020/7/10,0,4.613233954
53,688061,灿瑞科技,2022/10/31,20221018,47.49,112.69,2022/10/18,2.1,-1.3,6.74%,-16.65,0.00,0.03,96.80,2022/10/20,2,-0.14,112.20,2022/11/15,28,0.00,112.1999969,2022/11/15,28,-0.004348239
54,688062,迈威生物,2022/1/31,20220118,53.61,34.8,2022/1/18,0.9,9.1,-11.99%,-29.6,0.30,-0.14,31.90,2022/1/19,1,-0.08,31.90,2022/1/19,1,-0.08,31.89999962,2022/1/19,1,-0.083333344
55,688063,派能科技,2020/12/31,20201230,75.95,56,2020/12/30,0.2,-0.4,2.38%,320.16,0.10,0.16,299.89,2021/1/4,5,4.36,342.72,2021/1/7,8,5.12,342.7226257,2021/1/7,8,5.120046888
56,688065,凯赛生物,2020/8/31,20200812,58.27,133.45,2020/8/12,2.4,-2,6.66%,17.65,-0.12,0.01,110.62,2020/8/12,0,-0.17,110.62,2020/8/12,0,-0.17,110.6233749,2020/8/12,0,-0.171050019
57,688066,航天宏图,2019/7/31,20190722,76.53,17.25,2019/7/22,2.8,-0.3,3.92%,175.94,0.04,0.04,64.74,2019/7/30,8,2.75,74.79,2019/8/5,14,3.34,74.79049683,2019/8/5,14,3.335680975
58,688067,爱威科技,2021/6/30,20210616,71.12,14.71,2021/6/16,1.1,8.8,-1.05%,160.37,-0.18,-0.02,37.72,2021/6/16,0,1.56,37.72,2021/6/16,0,1.56,37.72261047,2021/6/16,0,1.564419475
59,688068,热景生物,2019/9/30,20190930,74.3,29.46,2019/9/30,3,-1.2,2.52%,140.63,-0.04,-0.03,44.58,2019/9/30,0,0.51,44.58,2019/9/30,0,0.51,44.58369446,2019/9/30,0,0.513363695
60,688069,德林海,2020/7/31,20200722,68.7,67.2,2020/7/22,2.7,-2.4,9.95%,51.34,-0.05,0.02,70.30,2020/7/22,0,0.05,93.21,2020/8/18,27,0.39,93.83495331,2020/8/21,30,0.396353472
61,688070,纵横股份,2021/2/28,20210210,82.84,23.16,2021/2/10,-0.2,1.7,-1.50%,137.52,-0.09,0.01,54.66,2021/2/10,0,1.36,54.66,2021/2/10,0,1.36,54.65674973,2021/2/10,0,1.359963287
